index,text,text2,text3
108,"an angular momentum λ, which for the photon must be at least 1, since it is a vector particle (i.e., it has ""J"" = 1). Thus, there is no E0 (electric monopoles) or M0 (magnetic monopoles, which do not seem to exist) radiation. Since the total angular momentum has to be conserved during the transition, we have that where formula_7, and its z-projection is given by formula_8; formula_9 and formula_10 are, respectively, the initial and final angular momenta of the atom. The corresponding quantum numbers ""λ"" and ""μ"" (z-axis angular momentum) must satisfy and Parity is also preserved. For electric","the isospin. For fermion-antifermion systems, we have where ""S"" is the total spin, ""L"" the total orbital angular momentum quantum number. For boson–antiboson systems we have G-parity In theoretical physics, G-parity is a multiplicative quantum number that results from the generalization of C-parity to multiplets of particles. ""C""-parity applies only to neutral systems; in the pion triplet, only π has ""C""-parity. On the other hand, strong interaction does not see electrical charge, so it cannot distinguish amongst π, π and π. We can generalize the ""C""-parity so it applies to all charge states of a given multiplet: where ""η"" =","of E1 radiation. Similar considerations hold for oscillating electric or magnetic multipoles of higher order. Conversely, it is plausible that the multipolarity of radiation can be determined from the angular distribution of the emitted radiation. A state of a nuclide is described by its energy above the ground state, by its angular momentum ""J"" (in units of formula_6), and by its parity, i.e., its behaviour under reflection (""positive"" + or ""negative"" -). Since the spin of nucleons is ½ (in units of formula_6), and since orbital angular momentum has integer values, ""J"" may be an integer or a half integer"
109,"are also part of the VLTI to make it available when the main telescopes are being used for other projects. The site also houses two survey telescopes with wide fields of view, the VISTA and the VLT Survey Telescope for surveying large areas of the sky; and two arrays of small telescopes called NGTS and SPECULOOS which are dedicated to searching for exoplanets. Two major new facilities are under construction nearby: the Southern part of the Cherenkov Telescope Array gamma-ray telescope (not owned by ESO) will be sited in the grounds 10km south-east of Paranal; while ESO's future E-ELT will","from ground-based instruments possible. Commissioning of ESPRESSO at the VLT started late 2017. The instrument is capable of operating in 1-UT mode (using one of the telescopes) and in 4-UT mode. In 4-UT mode, in which all the four 8-m telescopes are connected incoherently to form a 16-m equivalent telescope, the spectrograph will detect extremely faint objects. For example, for G2V type stars: ESPRESSO will focus the observations on the best-suited candidates: non-active, non-rotating, quiet G dwarfs to red dwarfs. It will operate at the peak of its efficiency for a spectral type up to M4-type stars. ESPRESSO will use","European Southern Observatory's Paranal Observatory in Chile, a location noted for low water-vapor and excellent photometric conditions. The NGTS telescope project cooperates closely with ESO's large telescopes. ESO facilities available for follow-up studies include the High Accuracy Radial Velocity Planet Searcher (HARPS) at La Silla Observatory; ESPRESSO for radial-velocity measurements at the VLT; SPHERE, an adaptive optics system and coronagraphic facility at the VLT that directly images extrasolar planets; and a variety of other VLT and planned E-ELT instruments for atmospheric characterization. Although located at Paranal Observatory, NGTS is not in fact operated by ESO, but by a consortium of"
110,"and even gases, such as carbon dioxide in carbonated beverages. Polyethylene terephthalate is produced from ethylene glycol and dimethyl terephthalate(DMT) (CH(COCH)) or terephthalic acid. The former is a transesterification reaction, whereas the latter is an esterification reaction. In dimethyl terephthalate(DMT) process, this compound and excess ethylene glycol are reacted in the melt at 150–200 °C with a basic catalyst. Methanol (CHOH) is removed by distillation to drive the reaction forward. Excess ethylene glycol is distilled off at higher temperature with the aid of vacuum. The second transesterification step proceeds at 270–280 °C, with continuous distillation of ethylene glycol as well.","involving vapor-phase oxidation of propene or 2-propenal with oxygen in the presence of methanol. Methyl acrylate can be prepared by debromination of methyl 2,3-dibromopropanoate with zinc. Methyl acrylate is formed in good yield on pyrolysis of methyl lactate in the presence of ethenone (ketene). Methyl lactate is a renewable ""green chemical"". Another patent describes the dehydration of methyl lactate over zeolites. The nickel tetracarbonyl-catalyzed hydrocarboxylation of acetylene with carbon monoxide in the presence of methanol also yields methyl acrylate. The reaction of methyl formate with acetylene in the presence of transition metal catalysts also leads to methyl acrylate. Both, the","1,3,5-tricyanohexane or tetramers, such as 1,3,6,8- and 1,3,5,8-tetracyanooctane. The reaction of acrylonitrile with tributylphosphine affords 2-methyleneglutaronitrile in a modest yield of about 10% after fractional distillation. The DABCO-catalyzed acrylonitrile dimerization of 2,4-dicyano-1-butene after 10 days at room temperature is with 40% yield similarly inefficient. The earlier patent literature describes processes for the isomerization of 2-methylene glutaronitrile to 1,4-dicyanobutenes as hexanedinitrile precursors, which became obsolete with the optimization of the electrochemical hydrodimerization of acrylonitrile to hexanedinitrile. The electrochemical hydrodimerization of 2-methylene glutaronitrile produces 1,3,6,8-tetracyanooctane. In the hydrogenation of 2-methylene glutaronitrile in the presence of palladium on carbon, hydrogen is attached to"
111,"particle can be expressed as a linear combination of just two eigenstates, or eigenspinors. These are traditionally labeled spin up and spin down. Because of this, the quantum-mechanical spin operators can be represented as simple 2 × 2 matrices. These matrices are called the Pauli matrices. Creation and annihilation operators can be constructed for spin- objects; these obey the same commutation relations as other angular momentum operators. One consequence of the generalized uncertainty principle is that the spin projection operators (which measure the spin along a given direction like ""x"", ""y"", or ""z"") cannot be measured simultaneously. Physically, this means","eigenvalues, +1 and −1. The corresponding normalized eigenvectors are: By the postulates of quantum mechanics, an experiment designed to measure the electron spin on the -, -, or -axis can only yield an eigenvalue of the corresponding spin operator (, or ) on that axis, i.e. or . The quantum state of a particle (with respect to spin), can be represented by a two component spinor: When the spin of this particle is measured with respect to a given axis (in this example, the -axis), the probability that its spin will be measured as is just formula_29. Correspondingly, the probability","representations. The Capital Latin letter labels indicate the finite dimensionality of the representation spaces under consideration which describe the internal angular momentum (spin) degrees of freedom. The representation spaces formula_9 are eigenvectors to in () according to, Here we define: to be the eigenvalue of the formula_9 sector. Using this notation we define the projector operator, in terms of : Such projectors can be employed to search through for formula_14 and exclude all the rest. Relativistic second order wave equations for any ""j"" are then straightforwardly obtained in first identifying the formula_8 sector in in () by means of the"
112,"databases that can be searched for known spectra that match the unknown's spectra. FTIR analysis of mixtures, while not impossible, presents specific difficulties due to the cumulative nature of the response. When analyzing an unknown that contains more than one substance, the resulting spectra will be a combination of the individual spectra of each component. While common mixtures have known spectra on file, novel mixtures can be difficult to resolve, making FTIR an unacceptable means of identification. However, the instrument can be used to determine the general chemical structures present, allowing forensic chemists to determine the best method for analysis","– 30.0 degrees and a pulse repetition time of 30 seconds. Samples were prepared by dissolution in deuterated chloroform (CDCl), deuterium oxide (DO), or deuterated dimethylsulfoxide (DMSO-d). Each spectrum is accompanied by a list of peaks with their respective intensities and chemical shifts reported in ppm and in Hz. Most spectra show the peak assignment. This collection contains ca 15,900 spectra and is being updated. The C NMR spectra were recorded at several spectrometers with resonance frequencies ranging from 15 MHz to 100 MHz and a resolution ranging from 0.025 to 0.045 ppm. Spectra were acquired using a pulse flip","wavelength using known concentrations of a calibration sample inside the cavity. By knowing the number density n (molecules/cm3) and wavelength-dependent absorption cross-section of the calibration sample, the effective reflectivity R(λ) can be determined by: where σ(λ) is the known absorption cross-section of the gas and ""d"" is the length of the cavity. Fourier Transform Incoherent Broadband Cavity Enhanced Spectroscopy (FT-IBBCEAS) is a variant of IBBCEAS which uses a Fourier transform spectrometer/photodiode instead of the conventional monochromator/CCD in order to establish a spectrum. In this case, the absorption is determined from the Fourier Transform of the intensity of light escaping the"
113,"be considered to react as the butyl anion, ""n""-Bu, and a lithium cation, Li. The standard preparation for ""n""-BuLi is reaction of 1-bromobutane or 1-chlorobutane with Li metal: If the lithium used for this reaction contains 1–3% sodium, the reaction proceeds more quickly than if pure lithium is used. Solvents used for this preparation include benzene, cyclohexane, and diethyl ether. When BuBr is the precursor, the product is a homogeneous solution, consisting of a mixed cluster containing both LiBr and BuLi, together with a small amount of octane. BuLi forms a weaker complex with LiCl, so that the reaction of","-methyl 2-benzamido-4-fluoro-2-methyl-4-(phenylsulfonyl)but-3-enoate (41 mg, 0.10 mmol) in benzene (1 mL) for 2 minutes. Tributyltin hydride (64 mg, 0.20 mmol) and AIBN (2.0 mg, 0.01 mmol) were then added under an argon atmosphere. The reaction mixture was heated under reflux for 24 hours, concentrated, and the residue was chromatographed (hexane to 90:10 hexane/EtOAc) to give the tri-n-butylstannyl vinylalaninate derivative (45 mg, 80%): IR (film) 1741, 1525 cm–1; H NMR (500 MHz, CDCl) δ 0.85 (m, 9H), 0.99 (m, 6H), 1.30 (m, 6H), 1.50 (m, 6H), 1.81 (s, 3H), 3.78 (s, 3H), 5.38 (d, J = 56.0 Hz, 1H), 7.40 (m, 2H),","(which is also suitable as a teaching experiment because of its simplicity - only liquid reactants are used) is based on phenol, excess methyl tert-butyl ether as alkylating agent (via the tertiary carbenium ion formed as intermediates) and sulfuric acid as catalyst. 2,4,6-TTBP is being obtained in 69% yield. Phenol reacts at temperatures of 50-60 ° C. in the presence of acidic catalysts such as, for example, sulfuric acid or aluminum chloride and an excess of gaseous isobutene in yields of up to 90% to give 2,4,6-tri-""tert""-butylphenol. 2,4,6-Tri-""tert""-butylphenol is a yellowish solid which dissolves in many organic solvents, but not"
114,"attraction (or repulsion) at a separation of one Compton wavelength, and the rest energy of the charge. It is given by ""α"" ≈ , which is approximately equal to . When electrons and positrons collide, they annihilate each other, giving rise to two or more gamma ray photons. If the electron and positron have negligible momentum, a positronium atom can form before annihilation results in two or three gamma ray photons totalling 1.022 MeV. On the other hand, a high-energy photon can transform into an electron and a positron by a process called pair production, but only in the presence","an annihilation taking place. For this reason, this scheme was named interaction-free measurement. If (classically speaking) both the electron and the positron take the ""w"" paths in their respective interferometers, they will annihilate to produce two gamma rays: formula_2. There is a 1 in 4 chance of this happening. We can express the state of the system, before the final beam splitters, as Since the formula_4 detectors click for formula_5, and the formula_6 detectors for formula_7, this becomes Since the probabilities are the squares of the absolute values of these amplitudes, this means a 9 in 16 chance of each","momentum. Therefore, the Fermi surface can be easily identified by looking for this discontinuities in formula_31. When a positron is implanted into a solid it will quickly lose all its kinetic energy and annihilate with an electron. By this process two gamma quanta with each are created which are in the reference frame of the electron positron pair emitted in exactly anti-parallel directions. In the laboratory frame, however, there is a Doppler shift from and an angular deviation from collinearity. Although the full momentum information about the momentum of the electron is encoded in the annihilation radiation, due to technical"
115,"(n → π* transition, ""ε"" = 450 L·mol·cm). The H nuclear magnetic resonance (NMR) spectrum of pyridine contains three signals with the integral intensity ratio of 2:1:2 that correspond to the three chemically different protons in the molecule. These signals originate from the α-protons (positions 2 and 6, chemical shift 8.5 ppm), γ-proton (position 4, 7.5 ppm) and β-protons (positions 3 and 5, 7.1 ppm). The carbon analog of pyridine, benzene, has only one proton signal at 7.27 ppm. The larger chemical shifts of the α- and γ-protons in comparison to benzene result from the lower electron density in the","unsymmetrical ligand PXXX, the following equation is used: Where θ represent the half angle. The resulting angles for PMe, PMePh, PPh are: PMe = 118°, PMePh = 122°, PPh = 145°. Thus, PMePh is intermediate in size relative to PMe and PPh. Dimethylphenylphosphine Dimethylphenylphosphine is prepared by the reaction of methylmagnesium halide with dichlorophenylphosphine. The phosphine is purified by distillation under reduced pressure. A solution of (CH)(CH)P in CDCl shows proton NMR signals at δ 7.0-7.5 and a doublet at δ 1.2. The phosphorus-31 NMR spectrum shows a singlet at -45.9 ppm in CDCl. Dimethylphenylphosphine is a pyramidal molecule where","(HBHA)CBCA(CO)NH as it starts with aliphatic protons and ends on an amide proton, and is therefore not an out-and-back experiment like HN(CO)CACB. HNCACB, or alternatively CBCANH, correlates the chemical shift of amide of a residue the Cα and Cβ of the same residue as well as those of the preceding residue. In each strip, four peaks may be visible – 2 from the same residue and 2 from the preceding residue. Peaks from the preceding residue are usually weaker, and may be identified using CBCA(CO)NH. In this experiment, the Cα and Cβ peaks are in opposite phase, i.e. if Cα"
116,"same molecular formula but a different physical structure. Isomers themselves exist in many varieties but can generally be classified as structural isomers or stereoisomers. Structural isomers have a different ordering of bonds and/or different bond connectivity from one another, as in the case of hexane and its four other isomeric forms (2-methylpentane, 3-methylpentane, 2,2-dimethylbutane, and 2,3-dimethylbutane). Stereoisomers have the same ordering of individual bonds and the same connectivity but the three-dimensional arrangement of bonded atoms differ. For example, 2-butene exists in two isomeric forms: ""cis""-2-butene and ""trans""-2-butene. The sub-categories of isomerases containing racemases, epimerases and cis-trans isomers are examples of","Isomer An isomer (; from Greek ἰσομερής, isomerès; isos = ""equal"", méros = ""part"") of a molecule has the same number of atoms of each element, but has a different arrangement of the atoms. It has the same molecular formula as the other molecule, but with a different chemical structure. Isomers do not necessarily share similar properties, unless they also have the same functional groups. There are two main forms of isomerism (): structural isomerism (or constitutional isomerism) and stereoisomerism (or spatial isomerism). In structural isomers, sometimes referred to as ""constitutional isomers,"" the atoms and functional groups are joined together","the side) describe the three possible positional isomers of two substituents on a benzene ring. These are usually two independent single substituents, but in case of fused ring systems, ""ortho""-fusing is also mentioned unless the substitution pattern is regarded in the name like in [2.2]paracyclophane. In the current systematic nomenclature, ""o""-, ""m""- and ""p""- are often replaced by using locants (1,2-dimethylbenzene instead of ""o""-xylene). ""o""-, ""m""- and ""p""- (written out ""ortho""-, ""meta""- and ""para""-) are written in lowercase letters and italic. See: ""Endo""-""exo"" isomerism ""exo"" (from Greek = outside) or ""endo"" (from Greek endon = inside) denotes the relative configuration"
117,"the resulting p-orbitals will have the same symmetry as the HOMO of the product. For the 5,6-dimethylcyclohexa-1,3-diene, only a disrotatory mode would result in p-orbitals having the same symmetry as the HOMO of hexatriene. For the 3,4-dimethylcyclobutene, on the other hand, only a conrotatory mode would result in p-orbitals having the same symmetry as the HOMO of butadiene. If the ring opening of 3,4-dimethylcyclobutene were carried out under photochemical conditions the resulting electrocyclization would be occur via a disrotatory mode instead of a conrotatory mode as can be seen by the correlation diagram for the allowed excited state ring opening","this reaction, methylmagnesium bromide is reacted with isophorone with and without 1 mole percent of added copper(I) chloride (see figure). Without added salt the main products are alcohol B (42%) from nucleophilic addition to the carbonyl group and diene C (48%) as its dehydration reaction product. With added salt the main product is 1,4-adduct A (82%) with some C (7%). A 1,6-addition is also possible, for example in one step of the commercial-scale production of fulvestrant: Diastereoselective conjugate addition reactions of chiral organocuprates provide β-functionalized ketones in high yield and diastereoselectivity. A disadvantage of these reactions is the requirement of","degree of substitution of halogen atoms for hydrogen atoms. 4-Bromofluorobenzene is most commonly synthesized via electrophilic halogenation, a type of electrophilic aromatic substitution with fluorobenzene, bromine, and iron(III) bromide as the reagents. The fluorine on fluorobenzene is a weak ""para"" and ""ortho"" director, as it draws electron density from the ""meta"" ring positions. Below is the reaction mechanism: This compound is a flammable liquid and vapor. It causes eye irritation, and may be harmful if swallowed, inhaled, or absorbed through the skin. It can cause depression of the central nervous system. It has a flash point of 53 °C. 4-Bromofluorobenzene"
118,"component synthesis of the direct etonitazene precursor, 2-(4-Ethoxybenzyl)-5-nitro-1H-benzoimidazole, consists of a 2-Bromo- or 2-Iodo-5-nitro-phenylamine (1.0 molar equivalent), a 4-substituted benzaldehyde (1.2 equiv), and sodium azide (2 equiv). The 2-Halo-5-nitro-phenylamine requires a bromo or iodo group for optimal activity. 2-Chloro-phenylamines are completely unreactive. In addition to these three components, the reaction was optimized in the presence of 0.05 molar equivalents (5 mol%) of a catalyst, copper(I) chloride, and 5 mol% of ligand, TMEDA (tetramethylethylenediamine). After heating these components at 120 °C for 12 hours in DMSO, the direct etonitazene precursor, 2-(4-Ethoxybenzyl)-5-nitro-1H-benzoimidazole, was formed in an approx 80-90% yield. The secondary amine","and 15. With position 10 sufficiently shielded reaction with chloromethyl benzyl ether produced the di(chloromethyl) adduct which was further converted to the dithiophenyl compound 63 using thiophenol, isolation of which required thin layer chromatography. Desulfurisation took place with Raney nickel and the reduction reaction also opened the lactone ring to the carboxylic acid which was converted to the ester 64 by reaction with diazomethane. At this stage the number of isomers in the mixture was reduced by HPLC to just two with the racemic propionic acid ester group at C13 (ring C) remaining in 65. Reaction with sulfuric acid converted","as a catalyst in his dissertation and obtained a purer product (mp 175 °C) in ""pretty needles"" (""schönen Nadeln""). The synthesis can also be carried out in solution in chloroform or tetrachloromethane and yields 1,2,4,5-tetrabromobenzene in 89% yield. As a teaching example for electrophilic aromatic substitutions, this reaction can also be carried out in a laboratory experiment with excess bromine and iron nails (as starting material for iron (III) bromide FeBr). The intermediate stage is 1,4-dibromobenzene, which reacts further with excess bromine to give 1,2,4,5-tetrabromobenzene. The symmetrical substitution pattern with reactive bromine atoms makes 1,2,4,5-tetrabromobenzene an interesting starting compound for"
119,"of 15th magnitude and brighter stars of 20 - 40 microarcseconds. Two related techniques can determine the mean distances of stars by modelling the motions of stars. Both are referred to as statistical parallaxes, or individual called secular parallaxes and classical statistical parallaxes. The motion of the Sun through space provides a longer baseline that will increase the accuracy of parallax measurements, known as secular parallax. For stars in the Milky Way disk, this corresponds to a mean baseline of 4 AU per year, whereas for halo stars the baseline is 40 AU per year. After several decades, the baseline","star being at distance formula_15 will be proportional to formula_19 such that formula_20 Assuming a uniform distribution of stars in space, the number density formula_21 becomes a constant and we can write formula_22, where formula_23. Since we deal with the probability distribution of the true parallax based on a fixed observed parallax, the probability density formula_24 becomes irrelevant and we can conclude that the distribution will have the proportionality formula_25 and thus, formula_26 The conditional probability of the true parallax based on the observed parallax is divergent around zero for the true parallax. Therefore, it is not possible to normalize","A measurement of central area density using the MYStIX catalog suggested approximately 10,000 stars per square parsec at the cluster center, but this study also suggested that such densities are not unusual for massive star-forming regions. The spatial distribution of stars has been described as a King profile or alternatively as a ""core-halo"" structure. Stellar density near the center of RCW 36 has been estimated to be approximately 300,000 stars per cubic parsec (or 10,000 stars per cubic light year). In contrast, the density of stars in the Solar neighborhood is only 0.14 star per cubic parsec, so the density"
120,"Intramolecular opening of the epoxide ring yielded intermediate 3, which, after an ""in situ"" hydrolysis facilitated by excess BF·EtO, afforded (–)-chloramphenicol (4) in 71% overall yield. A nucleophilic cascade was also employed in the total synthesis of the natural product pentalenene (Scheme 2). In this procedure, squarate ester 5 was treated with (5-methylcyclopent-1-en-1-yl)lithium and propynyllithium. The two nucleophilic attacks occurred predominantly with ""trans"" addition to afford intermediate 6, which spontaneously underwent a 4π-conrotatory electrocyclic opening of the cyclobutene ring. The resulting conjugated species 7 equilibrated to conformer 8, which more readily underwent an 8π-conrotatory electrocyclization to the highly strained intermediate","an activating Lewis acid in this case. Alkenylcopper complexes, easily generated through carbocupration, are useful for the introduction of a vinyl group in the β position of a carbonyl compound. In this case, as above, magnesium bromide is serving as an activating Lewis acid. Epoxide opening with organocuprates is highly selective for the less hindered position. Substitution takes place with complete inversion of configuration at the electrophilic carbon. Generally, organocuprates react with allylic electrophiles in an ""anti"" S2 fashion. In the reaction below, nearly complete inversion of configuration was observed despite the presence of a second stereocenter in the ring.","of the epoxide. There are two possible carbonyl products: one formed by migration of R (4) and the other by migration of R (5). The relative yield of each possible carbonyl is determined by the migratory preferences of the R-groups. The epoxide product is formed by an intramolecular addition reaction in which a lone pair from the oxygen attacks the carbocation (6). This reaction is exothermic due to the stability of nitrogen gas and the carbonyl containing compounds. This specific mechanism is supported by several observations. First, kinetic studies of reactions between diazomethane and various ketones have shown that the"
121,"where the bromine anion attaches. The reaction with alkaline potassium permanganate solution affords 2,3-dihydroxybutanoic acid. Heating with acetic anhydride leads to ""(E)""-2-butenoic-anhydride: The esterification of crotonic acid with methanol or ethanol using sulfuric acid as a catalyst provides the corresponding esters: Butenoic reacts with hypochlorous acid to 2-chloro-3-hydroxybutanoic acid. This can either be reduced with sodium amalgam to butanoic acid, can form with sulfuric acid 2-chlorobutenoic acid, react with hydrogen chloride to 2,3-dichlorobutenoic acid or with potassium ethoxide to 3-methyloxirane-2- carboxylic acid. Crotonic acid is used for the preparation of (racemic) DL-threonine by alpha-functionalization using mercury(II) acetate. For the production","and the reaction temperature was maintained at 55–60° with ice cooling. After the exothermic reaction subsided, 103 g (3.8 mol) of liquid hydrogen cyanide was added dropwise with cooling. After it had been heated at 60–70° for 2 hours, the resulting dark-brown reaction mixture was distilled under reduced pressure to give 420 g (93%) of succinonitrile as a colorless oil, bp 136° (10 mm), which solidified (mp 55°) on cooling. H NMR (CDCl): δ 2.76 (s, 4H). Hydrocyanation of unsaturated carbonyl compounds Hydrocyanation of unsaturated carbonyl compounds is a special case of the Michael reaction which can lead to β-cyanoketones,","the presence of the radical initiator benzoyl peroxide (BPO), gaseous hydrogen bromide is added, in contrary to the Markovnikov rule (""anti-Markovnikov""). When cooled to 0 °C, the fast and highly exothermic reaction produces 11-bromoundecanoic acid in 95% yield - the Markownikov product 10-bromoundecanoic acid is produced in small quantities as a by-product. Toluene and unreacted hydrogen bromide are extracted under reduced pressure and resused. 5. Bromine exchange of 11-bromoundecanoic acid to 11-aminoundecanoic acid 11-Bromodecanoic acid is mixed at 30 °C with a large excess of 40% aqueous ammonia solution. When the reaction is complete, water is added and the mixture"
122,"accrete material from a companion star until it reaches a critical mass and undergoes a thermonuclear explosion. In either case, the resulting supernova explosion expels much or all of the stellar material with velocities as much as 10% the speed of light (or approximately 30,000 km/s). These ejecta are highly supersonic: assuming a typical temperature of the interstellar medium of 10,000 K, the Mach number can initially be > 1000. Therefore, a strong shock wave forms ahead of the ejecta, that heats the upstream plasma up to temperatures well above millions of K. The shock continuously slows down over time","an error and he spent the next six weeks trying to find the mistake. But there was no mistake: contrary to expectations, by monitoring the brightness and measuring the redshift of the supernovae, they discovered that these billion-year old exploding stars and their galaxies were accelerating away from our reference frame. This result was also found nearly simultaneously by the Supernova Cosmology Project, led by Saul Perlmutter. The corroborating evidence between the two competing studies led to the acceptance of the accelerating universe theory and initiated new research to understand the nature of the universe, such as the existence of",a gust of stellar wind and gas that can span the width of a galaxy. A paper produced by the California Institute of Technology theorized that superwinds can potentially be traveling at a velocity of several thousand kilometers per second by the time they enter the intergalactic medium. Galactic superwind The galactic superwind is an unusual outflow of highly energetic radiation and material normally observed in starburst galaxies. Galactic superwinds are theorized to occur when ejecta from supernovae or stellar winds interact with enough force that the ejecta's kinetic energy is converted to thermal energy. The resulting effect is a
123,"the so-called ""compactness"" problem: absent this ultra-relativistic expansion, the ejecta would be optically thick to pair production at typical peak spectral energies of a few 100 keV, whereas the prompt emission is observed to be non-thermal. Subatomic particles called muons, have a relatively high lorentz factor and therefore experience extreme time dilation. As an example, muons generally have a mean lifetime of about which means muons generated from cosmic ray collisions at about 10 km up in the atmosphere should be non-detectable on the ground due to their decay rate. However, it has been found that ~10% of muons are","particles by absorbing them in dense material, and a muon system which measures the one type of particle that is not stopped through the calorimeters and can still be detected. Each component may have several different specialized sub-components. The detector's magnetic field causes the particle to rotate by accelerating it in a direction perpendicular to its motion via the Lorentz force. The tracking system plots the helix traced by such a charged particle as it travels through a magnetic field by localizing it in space in finely-segmented layers of detecting material, usually silicon. The particle's radius of curvature formula_3 is","10 J/T), the magnetic core volume, is Boltzmann’s constant, and is the absolute temperature. This exponential relationship between the particle volume and the decay time implies a very strong dependence on the diameter of the NP used in SPMR studies, requiring precise size restrictions on producing these particles. For magnetite, this requires a particle diameter of ~25 nm. The NP also require high monodispersity around this diameter as NP a few nm below this value will decay too fast and a few nm above will decay too slowly to fit into the time window of the measurement. The value of"
124,"a is In this article it is shown that an ""N""-dimensional isotropic harmonic oscillator has the energies i.e., ""n"" is a non-negative integral number; ω is the (same) fundamental frequency of the ""N"" modes of the oscillator. In this case ""N"" = 3, so that the radial Schrödinger equation becomes, Introducing and recalling that formula_61, we will show that the radial Schrödinger equation has the normalized solution, where the function formula_63 is a generalized Laguerre polynomial in ""γr"" of order ""k"" (i.e., the highest power of the polynomial is proportional to ""γ""""r""). The normalization constant ""N"" is, The eigenfunction ""R(r)""","can produce stable, closed, non-circular orbits are the inverse-square force law (β = 1) and the radial harmonic oscillator potential (β = 2). The solution β = 0 corresponds to perfectly circular orbits, as noted above. For an inverse-square force law such as the gravitational or electrostatic potential, the potential can be written The orbit ""u""(θ) can be derived from the general equation whose solution is the constant formula_36 plus a simple sinusoid where ""e"" (the eccentricity) and θ (the phase offset) are constants of integration. This is the general formula for a conic section that has one focus at","can be compactly abbreviated in tensor index notation where the indices ""i"" and ""j"" take the values 1, 2, 3. On the other hand, the components can be systematically displayed fully in a 3 × 3 antisymmetric matrix This quantity is additive, and for an isolated system, the total angular momentum of a system is conserved. In classical mechanics, the three-dimensional quantity for a particle of mass ""m"" moving with velocity u has the dimensions of ""mass moment"" – length multiplied by mass. It is related to the boost (relative velocity) of the centre of mass (COM) of the particle"
125,"components are resolved into consecutive zones of pure substances rather than “peaks”. Because the process takes advantage of the nonlinearity of the isotherms, a larger column feed can be separated on a given column with the purified components recovered at significantly higher concentration. Reversed phase HPLC (RP-HPLC) has a non-polar stationary phase and an aqueous, moderately polar mobile phase. One common stationary phase is a silica which has been surface-modified with RMeSiCl, where R is a straight chain alkyl group such as CH or CH. With such stationary phases, retention time is longer for molecules which are less polar, while","work in GC to LC. From this revolution, the 1950s also saw the advent of paper chromatography, reversed-phase partition chromatography (RPC), and hydrophobic interaction chromatography (HIC). The first gels for use in LC were created using cross-linked dextrans (Sephadex) in an attempt to realize Synge’s prediction that a unique single-piece stationary phase could provide an ideal chromatographic solution. In the 1960s, polyacrylamide and agarose gels were created in a further attempt to create a single-piece stationary phase, but the purity of and stability of available components did not prove useful for implementation in the HPLC. In this decade, affinity chromatography","went on to develop a method to separate phenylthiohydantoin(PTH)-amino acids using their IBc stationary phase with a stronger emphasis of implementing environmentally friendly conditions using a purely aqueous phase in HPLC. Another group separated catechins using PNIPAAm. Since the separation of biological molecules such as proteins would be better served by isocratic elution with an aqueous solvent, resolution of HPLC analysis should be tweaked in the area of stationary phases to elute such analytes that may be sensitive to organic solvents. Kanazawa et al. recognized the possibility of changing the LCST parameter through the addition of different moieties. Kanazawa’s group"
126,"of a conjugated dienone 112 from 111 in 4 steps. This is followed by the addition of a benzyl vinyl ether to produce 113. In 11 steps, this compound is converted to ketal 114. The addition of heat, DMSO and o-xylene rearranges this ketol (115), and after 5 more steps (±)-13-desoxydelphinone (15) is formed. Lastly, talatisamine (Scheme d) is synthesized from diene 116 and nitrile 117. The first step is to form tricycle 118 in 16 steps. After another 6 steps, this compound is converted to enone 120. Subsequently, this allene is added to produce photoadduct 121. This adduct group","upon heating, forming the arsabenzene. Arsabenzene undergoes electrophilic aromatic substitution at its ortho and para positions. It also undergoes Friedel-Crafts acylation. Whereas pyridine does not normally undergo a Diels–Alder reaction, arsabenzene behaves as a diene with hexafluoro-2-butyne. The corresponding phosphorine and benzene undergo the analogous reaction at 100 °C and 200 °C, respectively. Thus the ability of these heterobenzenes to undergo the Diels Alder reaction with this electrophile increases down the periodic table. Bismabenzene is so reactive that it exists in equilibrium with its dimer. Arsabenzene is far less basic than pyridine, being unreactive with Lewis acids. Trifluoroacetic acid does","temperature rise is 4923 °C. Ignition temperature is 347 °C. 2,4-Dinitroanisole reacts without heat with a potassium cyanide solution to form a red coloured product via the isopurpuric acid reaction. In this cyanide is added in the meta position, and the ortho nitro group is reduced to -NHOH. In alkaline conditions DNAN can be attacked at the methoxy position with nucleophiles to form Meisenheimer complexes. In these the ring develops a negative charge and another group is attached at the methoxy attachment point. So for example, sodium methoxide can produce the 6,6-dimethoxy-1,3-dinitro-1,3-cyclohexadiene anion. When heated under pressure with water and"
